model,role,control_macro_f1,treatment_macro_f1,delta_macro_f1,hypothesis_support,control_ecc,treatment_ecc,delta_ecc,delta_accuracy,delta_strong_r,delta_strong_p,delta_partial_p,delta_partial_r,delta_missing_r,control_partial_p,treatment_partial_p,delta_strong_to_partial,delta_missing_to_partial,control_grounding,treatment_grounding,control_unsupported,treatment_unsupported,delta_ms_mae,delta_score_vs_hmf,delta_chinese_jd_macro_f1,control_mean_latency_ms,treatment_mean_latency_ms,delta_total_tokens,treatment_cost_status,treatment_retries,treatment_integrity
qwen3.8-max,COST_QUALITY_CANDIDATE,0.7016,0.7142,0.0126,NOT_SUPPORTED / negligible,0.71,0.71,0.0,0.0,-0.0192,-0.0037,0.0019,-0.1,0.2222,0.5116,0.5135,1,-4,1.0,1.0,0.0,0.0,-0.87,-0.0527,-0.0073,13608.8,11411.6,20528,PENDING_OFFICIAL_PRICING_VERIFICATION,0,INTEGRITY_OK
kimi-k3,TOP_QUALITY_CANDIDATE,0.7396,0.7661,0.0265,WEAKLY_SUPPORTED,0.74,0.69,-0.05,0.0182,-0.066,0.0719,0.0047,0.174,0.0,0.5667,0.5714,2,0,1.0,1.0,0.0,0.0,0.23,-0.0011,0.0183,28124.7,29439.6,21954,PENDING_OFFICIAL_PRICING_VERIFICATION,0,INTEGRITY_OK
claude-sonnet-4-5-20250929,INCUMBENT_CONTROL,0.6757,0.7073,0.0316,WEAKLY_SUPPORTED,0.66,0.7,0.04,0.04,0.0769,-0.0188,0.0507,-0.1,0.1667,0.4615,0.5122,-5,-3,1.0,1.0,0.0,0.0,-2.84,0.0318,0.0332,18865.2,19881.3,23065,VERIFIED,0,INTEGRITY_OK
